,utcdate,utctime,alt,speed_mph,n_sats
162711,2021-11-19,,215,39666.460527,10
162983,2021-11-19,,215,39700.014561,10
163255,2021-11-19,,216,39767.122629,10
163524,2021-11-19,,216,39733.568595,10
163798,2021-11-19,,216,40169.771037,10
164062,2021-11-19,,216,40572.419445,10
164339,2021-11-19,,217,118.681861,11
164613,2021-11-19,,217,40538.865411,11
164888,2021-11-19,,217,118.681861,11
165158,2021-11-19,,217,286.452031,11
165434,2021-11-19,,217,521.330269,11
165714,2021-11-19,,218,40169.771037,11
165990,2021-11-19,,218,40303.987173,11
166274,2021-11-19,,218,39431.582289,11
166542,2021-11-19,,218,39901.338765,11
166816,2021-11-19,,218,39733.568595,11
167090,2021-11-19,,219,39196.704051,11
167373,2021-11-19,,219,40102.662969,11
167642,2021-11-19,,219,40002.000867,11
167916,2021-11-19,,219,38659.839507,11
168192,2021-11-19,,219,38726.947575,11
168467,2021-11-19,,219,39196.704051,11
168737,2021-11-19,,220,37384.786215,11
169012,2021-11-19,,220,38894.717745,10
169281,2021-11-19,,220,36882.097076,10
169555,2021-11-19,,220,35472.827648,11
169831,2021-11-19,,220,33962.896118,11
170108,2021-11-19,,221,30875.92499,11
170381,2021-11-19,,221,28661.980117,11
170652,2021-11-19,,221,26950.724383,11
170932,2021-11-19,,221,25205.914615,11
171207,2021-11-19,,221,23125.564507,11
171482,2021-11-19,,221,23259.780643000002,11
171758,2021-11-19,,222,22219.605589,11
172033,2021-11-19,,222,19938.552648,10
172308,2021-11-19,,222,17220.675894,11
172592,2021-11-19,,222,16348.27101,10
172862,2021-11-19,,222,14972.555616,11
173143,2021-11-19,,222,14100.150732,11
173411,2021-11-19,,223,9906.517853,11
173699,2021-11-19,,223,6081.357977,11
173973,2021-11-19,,223,3263.440492,11
174247,2021-11-19,,223,3867.413104,11
174523,2021-11-19,,223,1686.400894,11
174794,2021-11-19,,223,39992.680302,11
175074,2021-11-19,,223,39590.031894,11
175344,2021-11-19,,223,39321.599622,11
175618,2021-11-19,,223,40194.004506,11
175895,2021-11-19,,223,39925.572234,11
176171,2021-11-19,,223,38918.951214,11
176438,2021-11-19,,223,40361.774676,11
176722,2021-11-19,,223,243.57743200000002,11
177004,2021-11-19,,223,4303.615546,11
177356,2021-11-19,,223,5444.4527020000005,11
177633,2021-11-19,,223,7624.843541,11
177912,2021-11-19,,223,9034.112969,11
178177,2021-11-19,,223,12053.976029,11
178451,2021-11-19,,223,12322.408301,11
178722,2021-11-19,,223,13898.826528,10
178990,2021-11-19,,223,16314.716976,10
179273,2021-11-19,,223,17757.540438,10
179540,2021-11-19,,223,18864.82356,10
179853,2021-11-19,,223,19636.566342000002,11
180129,2021-11-19,,222,21816.957181,10
180411,2021-11-19,,222,20576.079294,11
180680,2021-11-19,,222,23796.645187000002,11
180955,2021-11-19,,222,23930.861323,11
181229,2021-11-19,,222,25205.914615,11
181512,2021-11-19,,221,25642.117057,11
181780,2021-11-19,,221,29031.074491,11
182055,2021-11-19,,221,27487.588927,11
182331,2021-11-19,,221,29768.641868,10
182612,2021-11-19,,221,30875.92499,10
182882,2021-11-19,,220,29768.641868,10
183159,2021-11-19,,219,31848.991976,10
183432,2021-11-19,,219,33660.909812,10
183711,2021-11-19,,218,33761.571914,10
183975,2021-11-19,,218,35103.733274,10
184246,2021-11-19,,217,37921.650759000004,10
184521,2021-11-19,,217,36882.097076,10
184796,2021-11-19,,216,39129.595983,11
185070,2021-11-19,,216,39196.704051,10
185342,2021-11-19,,216,38626.285473,10
185615,2021-11-19,,215,152.235895,10
185884,2021-11-19,,215,3843.179635,10
186161,2021-11-19,,214,4849.179284,10
186434,2021-11-19,,213,5318.93576,11
